lurralde_kodea,herrialdea,euskarazko_izena,izen_ofiziala,biztanleria2015,emaitza,aldeko_botoak,aurkako_botoak,boto_txuriak,biztanleria2016
EH,,EUSKAL HERRIA,Euskal Herria / País Vasco / Pays Basque,3.124.259,,,,,
IPAR,,IPARRALDE,Iparralde / Pays Basque Nord,296.434,,,,,299.129
64008,Nafarroa Beherea,Ahatsa-Altzieta-Bazkazane,Ahaxe-Alciette-Bascassan,283,bai,,,,281
64009,Lapurdi,Ahetze,Ahetze,1.899,,,,,1.941
64010,Nafarroa Beherea,Aiziritze,Aïcirits-Camou-Suhast,656,bai,,,,670
64011,Nafarroa Beherea,Aintzila,Aincille,129,bai,,,,124
64012,Zuberoa,Ainharbe,Ainharp,143,bai,,,,138
64013,Nafarroa Beherea,Ainhize-Monjolose,Ainhice-Mongelos,157,,,,,161
64014,Lapurdi,Ainhoa,Ainhoa,669,bai,,,,666
64015,Zuberoa,Altzai-Altzabeheti-Zunharreta,Alçay-Alçabéhéty-Sunharette,228,,,,,227
64016,Nafarroa Beherea,Aldude,Aldudes,338,,,,,321
64017,Zuberoa,Aloze-Ziboze-Onizegaine,Alos-Sibas-Abense,303,bai,,,,305
64018,Nafarroa Beherea,Amenduze-Unaso,Amendeuix-Oneix,428,,,,,435
64019,Nafarroa Beherea,Amorotze-Zokotze,Amorots-Succos,235,,,,,240
64024,Lapurdi,Angelu,Anglet-Nord,39.223,ez,3,35,1,39.184
64026,Nafarroa Beherea,Anhauze,Anhaux,344,bai,,,,370
64031,Nafarroa Beherea,Erango,Arancou,134,,,,,139
64034,Nafarroa Beherea,Arberatze-Zilhekoa,Arbérats-Sillègue,296,bai,,,,289
64035,Lapurdi,Arbona,Arbonne,2.075,bai,,,,2.095
64036,Nafarroa Beherea,Arboti-Zohota,Arbouet-Sussaute,296,,,,,300
64038,Lapurdi,Arrangoitze,Arcangues,3.133,bai,,,,3.141
64045,Nafarroa Beherea,Arhantsusi,Arhansus,71,,,,,69
64046,Nafarroa Beherea,Armendaritze,Armendarits,391,ez,0,6,4,396
64047,Nafarroa Beherea,Arnegi,Arnéguy,235,,,,,230
64049,Zuberoa,Arüe-Ithorrotze-Olhaibi,Aroue-Ithorots-Olhaïby,247,ez,,,,248
64050,Zuberoa,Ürrüstoi-Larrabile,Arrast-Larrebieu,96,,,,,96
64051,Nafarroa Beherea,Arruta-Sarrikota-Amikuze,Arraute-Charritte,388,,,,,383
